ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
FIHL,25.56,25.56,0.0,0.6107,516880,4,0.987,0.6809,0.0266,69.8,prev_close,0.061323880866788506,0.987,0.03389149363697254,0.8,1.5,neutral,0.0,4.3829,,,new,12:47:25,2026-07-06 12:47:25
ELS,66.05,66.25,-0.003,0.8295,1670010,4,0.971,1.3685,0.0207,64.5,yf_premarket,0.08329484064025064,0.971,0.025987943737441392,0.8,1.5,neutral,0.0,4.3799,,,new,12:47:25,2026-07-06 12:47:25
ICFI,74.99,74.99,0.0,1.6445,350680,3,0.9992,3.675,0.049,54.2,yf_premarket,0.1651336533247645,0.9992,0.0638981915606162,0.6,1.5,neutral,0.0,4.378,,,new,12:47:25,2026-07-06 12:47:25
COLL,38.1,37.03,0.0289,0.8926,538290,3,0.9137,1.352,0.0365,64.4,yf_premarket,0.08963107264073263,0.9137,0.047153382451440046,0.6,1.5,neutral,0.19408999328408327,4.3766,4.0982,0.278,steady,12:47:25,2026-07-06 12:47:25
AGEN,3.5,3.49,0.0029,0.6219,1094070,4,0.9552,0.212,0.0607,53.3,yf_premarket,0.062448536942943784,0.9552,0.07957133288680508,0.8,1.5,neutral,0.019476158495634652,4.3731,4.6808,-0.308,fading,12:47:25,2026-07-06 12:47:25
FLO,8.675,8.63,0.0052,0.6007,10791280,4,0.95,0.397,0.046,65.2,yf_premarket,0.06031972365593557,0.95,0.059879437374413924,0.8,1.5,neutral,0.03492276695768972,4.3728,,,new,12:47:25,2026-07-06 12:47:25
CWK,13.99,13.99,0.0,0.8256,3047920,4,0.9635,0.449,0.0321,62.9,yf_premarket,0.08290321932801799,0.9635,0.04125920964501004,0.8,1.5,neutral,0.0,4.372,4.3832,-0.011,steady,12:47:25,2026-07-06 12:47:25
BL,29.8125,29.88,-0.0023,0.7975,1323670,4,0.9593,1.2362,0.0414,60.4,yf_premarket,0.08008153756552125,0.9593,0.0537173476222371,0.8,1.5,neutral,0.0,4.3656,4.3801,-0.014,steady,12:47:25,2026-07-06 12:47:25
BOX,27.93,27.89,0.0014,0.9333,2494300,4,0.9433,0.9641,0.0346,69.0,yf_premarket,0.09371799248890406,0.9433,0.04460817146684527,0.8,1.5,neutral,0.009402283411685695,4.3636,4.4661,-0.103,steady,12:47:25,2026-07-06 12:47:25
NKTR,70.85,71.04,-0.0027,0.6565,1706090,4,0.9623,4.259,0.06,67.5,yf_premarket,0.06592292089249492,0.9623,0.07863362357669121,0.8,1.5,neutral,0.0,4.3628,,,new,12:47:25,2026-07-06 12:47:25
