ticker,premarket_price,premarket_volume,score,score_long,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,premarket_momentum_score,direction
SLS,9.07,0,4.5943,0.0,0.0,0.5502,0.0,13247640,4,0.8346,0.905,0.0998,0.0,down
SONY,22.57,0,4.0462,0.0,0.0,1.2271,0.0,6998080,2,0.5943,0.383,0.017,0.0,down
S,17.81,0,4.2805,0.0,0.0,1.1959,0.0,13088040,2,0.7183,0.8916,0.0501,0.0,down
AEO,16.14,0,4.6612,0.0,0.0,1.1943,0.0,7887680,4,0.4082,0.864,0.0535,0.0,down
AERO,16.89,0,4.2226,0.0,0.0,0.7307,0.0,236470,3,0.7892,0.8136,0.0482,0.0,down
PPG,112.07,0,4.4886,0.0,0.0,0.8554,0.0,2111620,3,0.8394,2.995,0.0267,0.0,down
AMD,510.13,0,4.3207,0.0,0.0,1.0166,0.0,32687150,2,0.8725,25.935,0.0508,0.0,down
SYM,48.4,0,3.397,0.0,0.0,1.0976,0.0,3362350,2,0.3454,2.8954,0.0598,0.0,down
FLEX,148.01,0,4.3043,0.0,0.0,0.7553,0.0,6074330,3,0.8106,7.41,0.0501,0.0,down
FGII,9.93,0,2.6133,0.0,0.0,0.408,0.0,16910,1,0.75,0.012,0.0012,0.0,down
IEAG,10.03,0,0.6379,0.0,0.0,0.0065,0.0,76600,1,0.0625,0.031,0.0031,0.0,down
SORN,9.97,0,3.3609,0.0,0.0,0.2404,0.0,6240,2,1.0,0.003,0.0003,0.0,down
MUZE,9.93,0,4.4242,0.0,0.0,0.6158,0.0,6820,3,1.0,0.004,0.0004,0.0,down
SCPQ,9.96,0,2.0004,0.0,0.0,0.0,0.0,360,2,0.5,0.004,0.0004,0.0,down
MEVO,9.94,0,2.8709,0.0,0.0,0.1802,0.0,20530,2,0.8,0.006,0.0006,0.0,down
XSLL,9.91,0,3.2989,0.0,0.0,0.5797,0.0,50540,2,0.7143,0.007,0.0007,0.0,down
PTOR,9.93,0,2.115,0.0,0.0,0.076,0.0,31560,1,0.75,0.009,0.0009,0.0,down
NWAX,10.16,0,2.7477,0.0,0.0,0.3912,0.0,35020,2,0.5789,0.0305,0.003,0.0,down
SAAQ,10.65,0,3.9993,0.0,0.0,0.6835,0.0,52230,4,0.4767,0.219,0.0206,0.0,down
BRR,2.34,0,4.3048,0.0,0.0,0.6005,0.0,2458090,3,0.9053,0.219,0.0936,0.0,down
SEG,24.55,0,4.1624,0.0,0.0,0.8938,0.0,105060,3,0.6426,0.8976,0.0366,0.0,down
VOYG,47.49,0,4.245,0.0,0.0,0.8084,0.0,3268190,3,0.7205,4.332,0.0912,0.0,down
SHOP,124.12,0,6.0917,0.0,0.0,1.0588,0.0,10112970,5,0.9805,5.2639,0.0424,0.0,down
PYPL,45.19,0,4.8006,0.0,0.0,1.1982,0.0,13530840,3,0.7398,1.078,0.0239,0.0,down
INTU,353.76,0,4.026,0.0,0.0,0.7422,0.0,8831780,4,0.4313,17.748,0.0502,0.0,down
KLAC,1940.04,0,3.567,0.0,0.0,0.785,0.0,937510,2,0.6754,75.314,0.0388,0.0,down
LRCX,317.12,0,3.9443,0.0,0.0,0.9107,0.0,8836770,2,0.7672,13.93,0.0439,0.0,down
MU,1035.5,0,5.2482,0.0,0.0,0.8351,0.0,55448120,4,0.9709,55.539,0.0536,0.0,down
AMAT,458.17,0,5.3255,0.0,0.0,0.9711,0.0,6806860,4,0.9148,18.0401,0.0394,0.0,down
TXN,293.2,0,2.4626,0.0,0.0,1.1763,0.0,8177260,1,0.0786,11.981,0.0409,0.0,down
IBM,320.42,0,7.1023,0.0,0.0,2.132,0.0,15376780,4,0.932,12.871,0.0402,0.0,down
ORCL,248.15,0,7.3396,0.0,0.0,2.2386,0.0,21484270,4,0.9706,10.063,0.0406,0.0,down
CRM,209.6,0,5.2289,0.0,0.0,1.5172,0.0,18158380,2,0.9562,8.539,0.0407,0.0,down
ADBE,274.03,0,5.8513,0.0,0.0,1.5932,0.0,5347480,3,0.9636,9.378,0.0342,0.0,down
CSCO,121.33,0,4.7455,0.0,0.0,0.909,0.0,26345160,3,0.926,3.64,0.03,0.0,down
AVGO,459.97,0,5.9419,0.0,0.0,1.4082,0.0,21601720,4,0.899,14.556,0.0316,0.0,down
QCOM,228.99,0,3.9662,0.0,0.0,0.8597,0.0,24562330,3,0.5511,17.038,0.0744,0.0,down
INTC,109.33,0,2.736,0.0,0.0,1.0584,0.0,127123190,1,0.2859,8.381,0.0767,0.0,down
