ticker,premarket_price,yesterday_close,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,macd_signal,price_source,norm_gap,norm_rvol,norm_pre_rvol,norm_breakout,norm_volatility,norm_trend,premarket_momentum,rsi_factor,macd_factor,score,rsi_label,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
ADC,74.6,,,0.7447662569755483,0.0,1257947,2,,1.2336557437056337,,,,yf_premarket,,0.07399361843073475,0.07399361843073475,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADCT,1.0716,,,1.8575569807362764,0.0,4616599,0,,0.2119999991522895,,,,yf_premarket,,0.18563727939216004,0.18563727939216004,,,0.0,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADI,396.0,,,1.0631536447050147,0.0,5081076,2,,16.057008317907957,,,,yf_premarket,,0.10593667188280997,0.10593667188280997,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADM,80.0075,,,0.5733510919256768,0.0,3613574,1,,2.4499986436631946,,,,yf_premarket,,0.056795940411098846,0.056795940411098846,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADMA,8.138,,,1.022925117156975,0.0,2960429,3,,0.2944444550408257,,,,yf_premarket,,0.10190063887619731,0.10190063887619731,,,0.6,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADNT,21.97,,,0.7038239988367637,0.0,998593,2,,1.033888922797309,,,,yf_premarket,,0.06988597852231253,0.06988597852231253,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADP,226.096,,,0.7569158678135522,0.0,2639054,2,,5.804443359375,,,,yf_premarket,,0.07521256014569376,0.07521256014569376,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADPT,17.37,,,0.9793426695290602,0.0,2263327,2,,1.0412223603990343,,,,yf_premarket,,0.09752811500181045,0.09752811500181045,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADSK,218.4201,,,0.6021449668418509,0.0,3031170,1,,9.245557996961805,,,,yf_premarket,,0.05968476176831052,0.05968476176831052,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADT,6.74,,,0.8233494164746418,0.0,9616591,2,,0.1405555937025282,,,,yf_premarket,,0.08187768093149372,0.08187768093149372,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADTN,14.2702,,,0.8621640698043884,0.0,3636298,1,,1.6788887447781033,,,,yf_premarket,,0.08577186328236427,0.08577186328236427,,,0.2,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADTX,0.0208,,,5.752114841925632,0.0,65165650,0,,0.03855555670128928,,,,yf_premarket,,0.5763690568640659,0.5763690568640659,,,0.0,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
ADUS,92.7,,,0.7097246035332715,0.0,202911,2,,2.7211125691731772,,,,yf_premarket,,0.07047797223338335,0.07047797223338335,,,0.4,,0.5,0.5,,—,,,new,12:03:47,2026-06-10 12:03:47
